count	list_sort(merge)
10000	2075400 
11000	2235300 
12000	3135600 
13000	2682500 
14000	2909000 
15000	3167800 
16000	4587600 
17000	4951900 
18000	3815500 
19000	5106400 
20000	4300900 
21000	4495100 
22000	5854200 
23000	5000100 
24000	6650800 
25000	5492600 
26000	6757400 
27000	7430300 
28000	7889200 
29000	6405500 
30000	7886900 
31000	6908700 
32000	7208500 
33000	7348300 
34000	7707300 
35000	9089500 
36000	8099900 
37000	8602800 
38000	9709900 
39000	9477900 
40000	9100200 
41000	11338600 
42000	11112900 
43000	10600600 
44000	10115800 
45000	10403000 
46000	10854500 
47000	11480700 
48000	13055700 
49000	13242000 
50000	12247500 
51000	12147300 
52000	12940500 
53000	13823200 
54000	13491800 
55000	13768100 
56000	13520500 
57000	14297900 
58000	15407800 
59000	15324500 
60000	15509200 
61000	15432500 
62000	18510500 
63000	16938900 
64000	16397400 
65000	21421300 
66000	16869800 
67000	19081300 
68000	21078100 
69000	19093200 
70000	22204300 
71000	21845000 
72000	21260400 
73000	21673100 
74000	22900900 
75000	21770600 
76000	24343800 
77000	21650200 
78000	22507800 
79000	24502700 
80000	22522500 
81000	28556200 
82000	24961500 
83000	25169700 
84000	26834000 
85000	26025900 
86000	24908200 
87000	28047400 
88000	26868400 
89000	29694900 
90000	28661900 
91000	27422600 
92000	29380000 
93000	28806600 
94000	29248100 
95000	32759100 
96000	29356300 
97000	29502300 
98000	30807000 
99000	34869900 
