count	list_sort(linux_merge)
10000	2804700 
11000	3034400 
12000	3448800 
13000	3637100 
14000	3936200 
15000	4287200 
16000	4543300 
17000	2938400 
18000	2924200 
19000	3109200 
20000	3363000 
21000	3565900 
22000	3677100 
23000	4026900 
24000	4078700 
25000	4382900 
26000	4494000 
27000	4695700 
28000	4880800 
29000	5176600 
30000	5268400 
31000	5466700 
32000	5685600 
33000	7164100 
34000	6979100 
35000	6887100 
36000	9613400 
37000	12050400 
38000	7061600 
39000	7214600 
40000	7383900 
41000	8058200 
42000	8306300 
43000	8342700 
44000	10043800 
45000	9398600 
46000	9017600 
47000	8901300 
48000	9163100 
49000	9587500 
50000	9974000 
51000	11649100 
52000	11590500 
53000	10545900 
54000	11011500 
55000	10952800 
56000	11287600 
57000	11394300 
58000	12874800 
59000	11755600 
60000	19258100 
61000	12496800 
62000	12687600 
63000	13581100 
64000	13635100 
65000	13336700 
66000	13668200 
67000	15293000 
68000	14181400 
69000	14991400 
70000	15069500 
71000	15179800 
72000	15082600 
73000	17761000 
74000	16039300 
75000	17100100 
76000	-983594400 
77000	17264000 
78000	16560300 
79000	18696500 
80000	28475000 
81000	19512600 
82000	22488000 
83000	26199100 
84000	38136300 
85000	18925000 
86000	20176700 
87000	19602000 
88000	21070500 
89000	19455000 
90000	24595000 
91000	44531800 
92000	43058900 
93000	30366200 
94000	38798800 
95000	35233500 
96000	35302000 
97000	32619000 
98000	39977100 
99000	27808300 
