count	list_sort(qsort)
10000	1422800 
11000	1841100 
12000	1870800 
13000	2072400 
14000	2332500 
15000	2556300 
16000	2844200 
17000	3544500 
18000	3332500 
19000	4013000 
20000	3971200 
21000	5045200 
22000	7741200 
23000	7582300 
24000	7214000 
25000	7094300 
26000	8745500 
27000	7380100 
28000	8238000 
29000	7856900 
30000	7946900 
31000	11487900 
32000	8934700 
33000	9473400 
34000	10175600 
35000	10753000 
36000	11957100 
37000	11901100 
38000	12675100 
39000	12541800 
40000	17541000 
41000	19651600 
42000	14795500 
43000	16102500 
44000	25183800 
45000	15685100 
46000	18249800 
47000	18550400 
48000	19715700 
49000	19678000 
50000	21310800 
51000	21769900 
52000	23069600 
53000	23278000 
54000	22241000 
55000	25954300 
56000	25946400 
57000	27051300 
58000	29862600 
59000	32067500 
60000	36281400 
61000	31615100 
62000	32193500 
63000	-965139300 
64000	31110900 
65000	36794900 
66000	38861000 
67000	43104800 
68000	39613700 
69000	41212000 
70000	62789500 
71000	64182600 
72000	55801800 
73000	50621100 
74000	54934100 
75000	59455600 
76000	58792800 
77000	59347100 
78000	67594200 
79000	57961000 
80000	-930000900 
81000	62800600 
82000	68954300 
83000	75069100 
84000	100556400 
85000	76830600 
86000	71700700 
87000	67506300 
88000	62160500 
89000	61347300 
90000	74661300 
91000	-918553300 
92000	77212100 
93000	107924600 
94000	83534400 
95000	64069900 
96000	59925800 
97000	84280700 
98000	105529800 
99000	88827800 
