count	list_sort(nonqsort)
10000	1108400 
11000	975700 
12000	1065200 
13000	1149300 
14000	1265800 
15000	1398800 
16000	1448200 
17000	1590600 
18000	1700500 
19000	1787000 
20000	1892200 
21000	2051300 
22000	2159300 
23000	2252000 
24000	2396800 
25000	2519400 
26000	2659800 
27000	2743900 
28000	2867400 
29000	3119800 
30000	3132000 
31000	3338800 
32000	4048100 
33000	3592000 
34000	3889900 
35000	3785800 
36000	4024100 
37000	4112200 
38000	4268000 
39000	4428800 
40000	4565400 
41000	4780400 
42000	4886800 
43000	5042200 
44000	5455700 
45000	5281100 
46000	5502600 
47000	5583100 
48000	5930800 
49000	5941900 
50000	6182400 
51000	6597600 
52000	6417000 
53000	6659800 
54000	6864100 
55000	7254700 
56000	7135800 
57000	7556400 
58000	7624100 
59000	7767000 
60000	7899500 
61000	8286900 
62000	8246500 
63000	8529600 
64000	8644100 
65000	9015900 
66000	9494200 
67000	9639900 
68000	9550500 
69000	10184500 
70000	9962300 
71000	10037100 
72000	10316000 
73000	10409700 
74000	10535500 
75000	10922000 
76000	11821300 
77000	11741700 
78000	11537100 
79000	11894400 
80000	12173500 
81000	12544900 
82000	12637100 
83000	13386400 
84000	13876100 
85000	13138800 
86000	13999100 
87000	13826500 
88000	14697600 
89000	15041600 
90000	15297300 
91000	15575500 
92000	16162300 
93000	16270100 
94000	16481400 
95000	16294800 
96000	16505600 
97000	17567500 
98000	17883400 
99000	17513100 
